SalesCD,SalesName,SalesSecCD,SalesSecName,CustomerCD,CustomerName,Cat12CD,Cat12Name,PartNo,Ship(CO)YM,Qty,Amt
CG,REKR,TY,FUCO,CG00000088,KR FCA LG INNOTEK,11JS,RH850/F,R7F7010103AFP-C#KA4,   2024/01,4000,1094400
CG,REKR,TY,FUCO,CG00000345,KR FCA LGC AUTO,12ER,RL78(AUTO),R5F10PGJCLFB#35,?2022/12,100,13560
CG,REKR,TY,FUCO,CG00000345,KR FCA LGC AUTO,12ER,RL78(AUTO),R5F10PGJLFB#H5,?2022/12,8000,1128960
CG,REKR,TY,FUCO,CG00000521,KR FC FUHRMEISTER,13EI,RA_FAMILY-1,R7FA2L1AB3CFL#AA0,   2023/02,300,59400
CG,REKR,TY,FUCO,CG00000521,KR FC FUHRMEISTER,14EP,RA_FAMILY-2,R7FA4M1AB3CNE#AA0,?2022/12,100,31560
CG,REKR,TY,FUCO,CG00000521,KR FC FUHRMEISTER,14Q0,WIRELESS MCU-2,R7FA4W1AD2CNG#AA0,   2023/09,50,23880
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,13EJ,RL78_GENERAL,R5F100GFAFB#10,   2024/01,4000,489600
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,13EJ,RL78_GENERAL,R5F100GFAFB#10,   2024/03,4000,489600
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,13EJ,RL78_GENERAL,R5F10278ANA#45,?2022/12,5000,330000
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,13EJ,RL78_GENERAL,R5F10278ANA#45,   2023/03,40000,2640000
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,13EJ,RL78_GENERAL,R5F10278ANA#45,   2023/04,15000,990000
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,14EP,RA_FAMILY-2,R7FA6M1AD3CFM#AA5,?2022/12,65440,30076224
CG,REKR,TY,FUCO,CG00000988,KR FC HEUM,1AE9,TOOL_HARD,RTE0T0002LKCE00000R,?2022/12,1,6120
CG,REKR,TY,FUCO,CG00001044,KR FC CRESYN,13EJ,RL78_GENERAL,R5F10278ANA#45,?2022/12,150000,9900000
CG,REKR,TY,FUCO,CG00001044,KR FC CRESYN,13EJ,RL78_GENERAL,R5F10278ANA#45,   2023/02,32500,2145000
CG,REKR,TY,FUCO,CG00001044,KR FC CRESYN,13EJ,RL78_GENERAL,R5F10278ANA#45,   2023/03,17500,1155000
CG,REKR,TY,FUCO,CG00001044,KR FC CRESYN,13EJ,RL78_GENERAL,R5F10278ANA#45,   2023/04,7500,495000
CG,REKR,TY,FUCO,CG00001045,KR FC CHEMTRONICS,14QW,RX200/100,R5F51303ADFL#10,   2023/12,865000,138054000
CG,REKR,TY,FUCO,CG00001045,KR FC CHEMTRONICS,14QW,RX200/100,R5F51303ADFL#10,   2024/01,578000,92248800
CG,REKR,TY,FUCO,CG00001045,KR FC CHEMTRONICS,14QW,RX200/100,R5F51303ADFL#10,   2024/02,104000,16598400
CG,REKR,TY,FUCO,CG00001045,KR FC CHEMTRONICS,14QW,RX200/100,R5F51303ADFL#10,   2024/03,48000,7660800
CG,REKR,TY,FUCO,CG00001061,KR FC DAONTECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/04,2000,220800
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,1AKY,TOOL_HARD3,QB-R5F100LE-TB,?2022/12,18,28080
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,1AKY,TOOL_HARD3,QB-R5F1026A-TB,?2022/12,9,14040
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F1007CANA#00,?2022/12,66640,5117952
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F1007CANA#00,   2023/02,15680,1204224
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/06,29400,3245760
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/09,268000,29587200
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100LEAFB#10,?2022/12,6400,829440
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/01,1280,165888
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/02,1280,165888
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/04,5120,663552
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/05,1280,165888
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/06,5120,663552
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AB3CFP#AA0,?2022/12,28743,9278238
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AB3CFP#AA0,   2023/02,4316,1393205
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AB3CFP#AA0,   2023/07,1657,534880
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AB3CFP#AA0,   2023/08,3383,1092033
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AB3CFP#AA0,   2023/09,5138,1658547
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AB3CFP#AA0,   2023/11,458,147843
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AD3CFP#AA0,   2023/02,12706,4360699
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AD3CFP#AA0,   2023/03,16254,5578373
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AD3CFP#AA0,   2023/04,380,130416
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,14EP,RA_FAMILY-2,R7FA6T1AD3CFP#AA0,   2023/05,565,193908
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,19SK,RZ/G,R9A07G044L27GBG#BC0,?2022/12,7616,9029528
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,19SK,RZ/G,R9A07G044L27GBG#BC0,   2023/03,952,1128692
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,19SK,RZ/G,R9A07G044L27GBG#BC0,   2024/01,2856,3386074
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,1AKY,TOOL_HARD3,RTE0T00001FWRAS000R,?2022/12,3,239400
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,1AE9,TOOL_HARD,RTE0T00020KCAA0000J,?2022/12,9,216000
CG,REKR,TY,FUCO,CG00001110,KR FC HANTROTECH,1AE9,TOOL_HARD,RTE0T00020KCAC1000J,?2022/12,12,31680
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/09,392000,43276800
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/10,124000,13689600
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/11,176000,19430400
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/12,102000,11260800
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2024/01,18000,1987200
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GGAFB#10,   2024/01,4000,537600
CG,REKR,TY,FUCO,CG00001132,KR FC SOLITY,13EJ,RL78_GENERAL,R5F100GGAFB#10,   2024/02,2000,268800
CG,REKR,TY,FUCO,CG00001301,KR FCA LG MAGNA E,11JT,RH850/E,R7F702014AEABG-C#BC0,   2023/10,352,1393920
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,13EI,RA_FAMILY-1,R7FA2E1A52DFJ#AA0,   2024/03,250,23700
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#AA0,   2023/04,26973,10713673
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#AA0,   2023/05,167,66333
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#AA0,   2023/06,7227,2870565
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#AA0,   2023/07,89,35351
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#AA0,   2023/09,53,21052
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#BA0,   2024/01,5280,2097216
CG,REKR,TY,FUCO,CG00001314,KR FCH EVERYBOT,14EP,RA_FAMILY-2,R7FA4M3AD3CFB#BA0,   2024/02,4320,1715904
CG,REKR,TY,FUCO,CG00001367,KR FCH G I TECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/01,6000,662400
CG,REKR,TY,FUCO,CG00001367,KR FCH G I TECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/02,4000,441600
CG,REKR,TY,FUCO,CG00001367,KR FCH G I TECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/06,22000,2428800
CG,REKR,TY,FUCO,CG00001367,KR FCH G I TECH,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/07,4000,441600
CG,REKR,TY,FUCO,CG00001379,KR FC SOOMEE TECH,13EJ,RL78_GENERAL,R5F100LJAFA#10,?2022/12,2856,610041
CG,REKR,TY,FUCO,CG00001379,KR FC SOOMEE TECH,19SK,RZ/G,R9A07G043U11GBG#BC0,   2023/12,5712,4256582
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,?2022/12,26000,2870400
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/01,32000,3532800
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/02,6000,662400
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/06,54000,5961600
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/07,4000,441600
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/08,80000,8832000
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/09,58000,6403200
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/10,26000,2870400
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/11,38000,4195200
CG,REKR,TY,FUCO,CG00001472,KR FCH EVERNET CORP,13EJ,RL78_GENERAL,R5F100GEAFB#10,   2023/12,32000,3532800
CG,REKR,TY,FUCO,CG00001486,KR FC TERALINK COMM,14QW,RX200/100,R5F52318BGFL#30,?2022/12,100,42360
CG,REKR,TY,FUCO,CG00001514,KR FC MODERNTEC,1AE9,TOOL_HARD,RTE0T0002LKCE00000R,?2022/12,4,24480
CG,REKR,TY,FUCO,CG00001516,KR FCU INTELLOID,14EP,RA_FAMILY-2,R7FA6M1AD3CNB#BA5,   2024/02,19488,11131545
CG,REKR,TY,FUCO,CG00001572,KR FC HNS TECH,14EP,RA_FAMILY-2,R7FA6T2BB3CFL#AA0,?2022/12,40,16656
CG,REKR,TY,FUCO,CG00002115,KR FCO ENERTECH GLOB,13EJ,RL78_GENERAL,R5F100GGAFB#10,   2024/02,2000,268800
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AKY,TOOL_HARD3,QB-64FA-EA-01T,   2024/02,3,32400
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AKY,TOOL_HARD3,QB-64FA-NQ-01T,   2024/02,3,15120
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AKY,TOOL_HARD3,QB-80GC-NQ-01T,   2024/02,3,15120
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0E000010ACB10,?2022/12,7,84000
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0E000010ACB10,   2024/01,30,360000
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0E000010ACB10,   2024/03,25,300000
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0E000010ACB20,   2023/10,7,168000
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0K50100LS000BE,?2022/12,4,0
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0K50100LS900BE,?2022/12,8,144000
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,1AE9,TOOL_HARD,R0K50110PS000BE,?2022/12,2,55200
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,25RM,P-MANAGEMENT2,R2A20114CFP#W2,   2023/07,10000,1269600
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,25RM,P-MANAGEMENT2,R2A20114CFP#W2,   2023/08,40000,5078400
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FEAFP#10,   2024/01,115200,6080022
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FEAFP#10,   2024/02,74240,3919130
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FEAFP#10,   2024/03,3840,202714
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FGAFP#10,   2024/01,5120,401202
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FGAFP#10,   2024/02,144640,11333991
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FGAFP#10,   2024/03,15360,1203610
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FJAFP#10,   2023/06,1280,112128
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FJAFP#10,   2024/01,39680,3475968
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FJAFP#10,   2024/02,7680,672768
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FJAFP#10,   2024/03,24320,2130432
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FJAFP#30,   2023/06,128,11212
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FLAFP#10,   2023/12,42040,4232585
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FLAFP#10,   2024/01,88320,8892058
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FLAFP#10,   2024/02,323840,32604212
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100FLAFP#10,   2024/03,209920,21134746
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/05,69120,5225472
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/06,30720,2322432
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LEAFB#10,   2023/09,5120,387072
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LHAFA#10,   2024/02,84728,7828867
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LHAFA#10,   2024/03,42840,3958416
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LLAFA#10,   2023/11,18088,2648688
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LLAFA#10,   2023/12,8568,1254784
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LLAFA#10,   2024/01,952,139421
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LLAFA#10,   2024/02,27608,4043192
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100LLAFA#10,   2024/03,24752,3624931
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MHAFA#10,   2023/12,13680,1408491
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MHAFA#10,   2024/01,4320,444788
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MHAFA#10,   2024/02,2880,296525
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MHAFA#10,   2024/03,720,74132
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MKAFA#10,   2024/03,563730,68238257
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MLAFA#10,   2024/02,7920,1111968
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F100MLAFA#10,   2024/03,39600,5559840
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F101AFASP#10,   2023/10,31920,1608768
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F101AFASP#10,   2023/11,40320,2032128
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EJ,RL78_GENERAL,R5F101AFASP#10,   2023/12,20160,1016064
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EX,R8C,R5F21355CDFP#30,   2024/02,2524,191723
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,13EX,R8C,R5F21355CDFP#30,   2024/03,3875,294345
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QW,RX200/100,R5F51305ADFL#30,?2022/12,400,64800
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QW,RX200/100,R5F5210ABDFB#10,   2024/02,19680,9670752
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QW,RX200/100,R5F5210ABDFB#10,   2024/03,12000,5896800
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QW,RX200/100,R5F5210BBDFB#10,   2023/02,480,380160
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QW,RX200/100,R5F5210BBDFB#30,?2022/12,525,378000
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524TAADFF#11,   2023/09,114480,20280973
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524TAADFF#11,   2023/10,50400,8929872
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524TAADFF#11,   2023/11,50400,8929872
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524TAADFF#11,   2023/12,100080,17732175
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524UEADFB#10,   2023/08,20160,4919167
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524UEADFB#10,   2023/09,15840,3865119
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524UEADFB#10,   2023/10,5280,1288373
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524UEADFB#10,   2023/11,35520,8667236
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524UEADFB#10,   2023/12,6240,1522623
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F524UEADFB#10,   2024/01,4800,1171248
CG,REKR,TY,FUCO,CG09000161,KR FC LG AIRCON,14QI,RX-ASSP,R5F526TFCGFP#YK1,   2023/04,50,23940
